curso,ano,prova,tipoquestao,idquestao,objeto,objetodetalhado,gabarito,acertoscurso,acertosregiao,acertosbrasil,acertosdif,texto,imagem,urlprova,urlsintese,urlcurso,urlcrop
CC,2017,Geral,Discursiva,D1,"Ética, democracia e cidadania; responsabilidade social; sociodiversidade e multiculturalismo.","P 01: ético e comprometido com as questões sociais, culturais e ambientais;
R 02: ler, interpretar e produzir textos com clareza e coerência;
OC 01: ética, democracia e cidadania;
OC 08: responsabilidade social;
OC 09: sociodiversidade e multiculturalismo.",-,"43,7","52,1","52,8","-9,1",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Discursiva,D2,"Ética, democracia cidadania; sociodiversidade e multiculturalismo.","P 02: humanista e crítico, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam o ambiente próprio de sua formação.
R 10: promover, em situações de conflito, diálogo e regras coletivas de convivência, integrando saberes e conhecimentos, compartilhando metas e objetivos coletivos.
OC 01: ética democracia cidadania;
OC 09: sociodiversidade e multiculturalismo.",-,"48,6",51,"51,5","-2,9",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,1,Globalização e política internacional.,"P 03: protagonista do saber, com visão do mundo em sua diversidade para práticas de letramento, voltadas para o exercício pleno de cidadania.
R 04: interpretar diferentes representações simbólicas, gráficas e numéricas de um mesmo conceito.
OC 03: Globalização e política internacional.",C,"34,6","38,6",34,"0,6",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,2,"Vida urbana e vida rural; Relações de trabalho; Ciência, tecnologia e sociedade.","P 02: humanista e crítico, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam o ambiente próprio de sua formação.
R 06: organizar, interpretar e sintetizar informações para tomada de decisões.
OC 05: Vida urbana e vida rural;
OC 10: Relações de trabalho;
OC 11: Ciência, tecnologia e sociedade.",C,"76,9","58,4","51,6","25,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,3,Meio ambiente; Responsabilidade social.,"P 01: ético e comprometido com as questões sociais, culturais e ambientais;
R 04: interpretar diferentes representações simbólicas, gráficas e numéricas de um mesmo conceito.
OC 06: Meio ambiente;
OC 08: Responsabilidade social.",B,"61,5","44,1","42,4","19,1",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,4,"Tecnologias de Informação e Comunicação; Ciência, tecnologia e sociedade.","P 03: protagonista do saber, com visão do mundo em sua diversidade para práticas de letramento, voltadas para o exercício pleno de cidadania.
R 05: formular e articular argumentos consistentes em situações sociocomunicativas, expressando-se com clareza, coerência e precisão;
OC 13: Tecnologias de Informação e Comunicação;
OC 11: Ciência, tecnologia e sociedade.",B,"76,9","76,4","72,8","4,1",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,5,Inovação tecnológica; meio ambiente.,"P 04: proativo, solidário, autônomo e consciente na tomada de decisões pautadas pela análise contextualizada das evidências disponíveis;
R 07: planejar e elaborar projetos de ação e intervenção a partir da análise de necessidades, de forma coerente, em diferentes contextos;
OC 12: Inovação tecnológica;
OC 06: meio ambiente.",C,"80,8","70,3","67,1","13,7",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,6,Processos migratórios; Relações de trabalho.,"P 04: proativo, solidário, autônomo e consciente na tomada de decisões pautadas pela análise contextualizada das evidências disponíveis;
R 08: buscar soluções viáveis e inovadoras na resolução de situações-problema;
OC 04: Processos migratórios;
OC 10: Relações de trabalho.",E,"92,3","89,7","87,6","4,7",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,7,Cultura e arte.,"P 05: colaborativo e propositivo no trabalho em equipes, grupos e redes, atuando com respeito, cooperação, iniciativa e responsabilidade social.
R 09: trabalhar em equipe, promovendo a troca de informações e a participação coletiva, com autocontrole e flexibilidade;
OC 02: Cultura e arte.",A,"46,2","40,6","37,9","8,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Geral,Objetiva,8,"Responsabilidade social; Ética, democracia e cidadania; sociodiversidade e multiculturalismo.","P 05: colaborativo e propositivo no trabalho em equipes, grupos e redes, atuando com respeito, cooperação, iniciativa e responsabilidade social.
R 07: planejar e elaborar projetos de ação e intervenção a partir da análise de necessidades, de forma coerente, em diferentes contextos;
OC 08: Responsabilidade social;
OC 01: Ética, democracia e cidadania;
OC 09: sociodiversidade e multiculturalismo.",D,"57,7","52,3","50,5","7,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
